name,balance,tag,url
BlackRock,72573876115.28,Fund,/explorer/entity/blackrock
Strategy (Prev. MicroStrategy),46850116974.02,Fund,/explorer/entity/microstrategy
Grayscale,27367424715.50,Fund,/explorer/entity/grayscale
ARK Invest,4471192936.96,Fund,/explorer/entity/ark-invest
Bitwise,4155591566.26,Fund,/explorer/entity/bitwise
Twenty One Capital,3756215509.50,Fund,/explorer/entity/twenty-one-capital
Purpose Investments,2405400530.60,Fund,/explorer/entity/purpose-investments
Winklevoss Capital,2055934879.39,Fund,/explorer/entity/winklevoss-capital
VanEck,1783040888.89,Fund,/explorer/entity/vaneck
21Shares (21.co),1385672913.29,Fund,/explorer/entity/21shares
ETC Group,1341327404.58,Fund,/explorer/entity/etc-group
WisdomTree,1303245453.63,Fund,/explorer/entity/wisdomtree
Coinshares,1073563176.76,Fund,/explorer/entity/coinshares
MetaPlanet,1008930442.75,Fund,/explorer/entity/metaplanet-2
Fidelity FBTC ETF Inflows,962888856.61,Fund,/explorer/entity/fidelity
Alameda Research,813097583.63,Fund,/explorer/entity/alameda-research
3IQ,697483951.14,Fund,/explorer/entity/3iq
Galaxy Digital,634548140.01,Fund,/explorer/entity/galaxy-digital
Valkyrie,583034247.52,Fund,/explorer/entity/valkyrie
Franklin Templeton,545597750.84,Fund,/explorer/entity/franklin-templeton
Jump Crypto,536573638.56,Fund,/explorer/entity/jump-trading
Invesco,534216963.00,Fund,/explorer/entity/invesco
Wintermute,504751054.97,Fund,/explorer/entity/wintermute
7 Siblings,467898864.53,Fund,/explorer/entity/7-siblings
a16z,402727207.56,Fund,/explorer/entity/a16z
CI Global Asset Management,380408581.45,Fund,/explorer/entity/ci-global-asset-management
Abraxas Capital Mgmt (Heka Funds),281999542.39,Fund,/explorer/entity/abraxas-capital-heka-funds
Osprey Funds,236436768.17,Fund,/explorer/entity/osprey-funds
Bosera Funds,180841125.16,Fund,/explorer/entity/bosera-funds
QCP Capital,157255121.22,Fund,/explorer/entity/qcp-capital
B2C2 Group,127980209.31,Fund,/explorer/entity/b2c2
Pantera Capital,104115292.24,Fund,/explorer/entity/pantera-capital
Blockchain Capital,94874213.43,Fund,/explorer/entity/blockchain-capital
Symbolic Capital Partners,79383201.02,Fund,/explorer/entity/scp
Dragonfly Capital,77832565.53,Fund,/explorer/entity/dragonfly-capital
Teneo,75846357.34,Fund,/explorer/entity/teneo
GSR Markets,72395398.36,Fund,/explorer/entity/gsr-markets
Mirana Ventures,68901356.23,Fund,/explorer/entity/mirana-ventures
Mercado Libre,57555673.87,Fund,/explorer/entity/mercado-libre
DeFiance Capital,43384682.69,Fund,/explorer/entity/defiance-capital
Fuel Network,42584996.61,Fund,/explorer/entity/fuel-network
Cumberland DRW,40708578.21,Fund,/explorer/entity/cumberland
Genesis Trading,34817547.58,Fund,/explorer/entity/genesis-trading
Amber Group,28818556.64,Fund,/explorer/entity/amber
Longling Capital,27938939.55,Fund,/explorer/entity/longling-capital
Arrington XRP Capital,27767269.66,Fund,/explorer/entity/arrington-xrp-capital
UDHC,24267784.06,Fund,/explorer/entity/udhc
Spartan Group,21388604.22,Fund,/explorer/entity/spartan-group
Manifold Trading,15961601.72,Fund,/explorer/entity/manifoldtrading
YZi Labs (Binance Labs Fund),12330356.90,Fund,/explorer/entity/binance-labs
Fasanara Capital,12241221.87,Fund,/explorer/entity/fasanara-capital
DWF Labs,12173450.78,Fund,/explorer/entity/dwf-labs
