name,balance,tag
BlackRock,72573876115.28,Fund
Strategy (Prev. MicroStrategy),46850116974.02,Fund
Grayscale,27367424715.50,Fund
ARK Invest,4471192936.96,Fund
Bitwise,4155591566.26,Fund
Twenty One Capital,3756215509.50,Fund
Purpose Investments,2405400530.60,Fund
Winklevoss Capital,2055934879.39,Fund
VanEck,1783040888.89,Fund
21Shares (21.co),1385672913.29,Fund
ETC Group,1341327404.58,Fund
WisdomTree,1303245453.63,Fund
Coinshares,1073563176.76,Fund
MetaPlanet,1008930442.75,Fund
Fidelity FBTC ETF Inflows,962888856.61,Fund
Alameda Research,813097583.63,Fund
3IQ,697483951.14,Fund
Galaxy Digital,634548140.01,Fund
Valkyrie,583034247.52,Fund
Franklin Templeton,545597750.84,Fund
Jump Crypto,536573638.56,Fund
Invesco,534216963.00,Fund
Wintermute,504751054.97,Fund
7 Siblings,467898864.53,Fund
a16z,402727207.56,Fund
CI Global Asset Management,380408581.45,Fund
Abraxas Capital Mgmt (Heka Funds),281999542.39,Fund
Osprey Funds,236436768.17,Fund
Bosera Funds,180841125.16,Fund
QCP Capital,157255121.22,Fund
B2C2 Group,127980209.31,Fund
Pantera Capital,104115292.24,Fund
Blockchain Capital,94874213.43,Fund
Symbolic Capital Partners,79383201.02,Fund
Dragonfly Capital,77832565.53,Fund
Teneo,75846357.34,Fund
GSR Markets,72395398.36,Fund
Mirana Ventures,68901356.23,Fund
Mercado Libre,57555673.87,Fund
DeFiance Capital,43384682.69,Fund
Fuel Network,42584996.61,Fund
Cumberland DRW,40708578.21,Fund
Genesis Trading,34817547.58,Fund
Amber Group,28818556.64,Fund
Longling Capital,27938939.55,Fund
Arrington XRP Capital,27767269.66,Fund
UDHC,24267784.06,Fund
Spartan Group,21388604.22,Fund
Manifold Trading,15961601.72,Fund
YZi Labs (Binance Labs Fund),12330356.90,Fund
Fasanara Capital,12241221.87,Fund
DWF Labs,12173450.78,Fund
Draper Dragon,11871341.67,Fund
Flowdesk,10991750.03,Fund
Onebit,9508072.56,Fund
True Ventures,9212617.35,Fund
TrustedVolumes,8478974.26,Fund
Dokia Capital,7811853.52,Fund
Maven 11,6487771.55,Fund
Lemniscap,6444618.56,Fund
Paradigm Capital,6399488.99,Fund
Hex Trust,6277490.65,Fund
HashKey Capital,6264376.03,Fund
Akuna Capital,5250638.45,Fund
KR1,5236092.25,Fund
Infinity Ventures Crypto,5210240.26,Fund
Multicoin Capital,5125470.23,Fund
Kelsier Ventures (Hayden Davis),4968066.36,Fund
PleasrDAO,4691428.72,Fund
Laser Digital,4632737.20,Fund
Neo Tokyo,4630869.17,Fund
Seed Club Ventures,4472980.83,Fund
SevenX Ventures,4324381.98,Fund
NGC Ventures,4316249.56,Fund
Collab+Currency,4110959.17,Fund
Flow Traders,3788916.13,Fund
OKX Blockdream Ventures,3553070.74,Fund
Selini Capital,2887278.73,Fund
Bitscale Capital,2706007.08,Fund
Signum Capital,2694529.57,Fund
Caladan (Alphalab Capital),2562326.58,Fund
New Form Capital,2478731.08,Fund
Shorooq Partners,2258717.22,Fund
Jane Street,2130882.20,Fund
1confirmation,1887980.83,Fund
Struck Capital,1692857.42,Fund
Spark Digital Capital,1532934.82,Fund
ParaFi Capital,1469327.90,Fund
Sigil Fund,1447179.07,Fund
Robot Ventures,1404351.02,Fund
Bofur Capital,1344012.15,Fund
Pendulum Fund,1323896.08,Fund
6529 Museum,1175625.23,Fund
MetaCartel,1155874.75,Fund
Hypersphere Ventures,1147718.82,Fund
Sky9 Capital,1110694.69,Fund
Copium Capital,1042767.11,Fund
Auros Global,957811.44,Fund
NEON,931844.32,Fund
Master Ventures,930514.06,Fund
RH Montgomery Properties,912619.68,Fund
Enigma Securities,909483.27,Fund
Blue Hills Fund,731609.63,Fund
Animoca Brands,718883.62,Fund
Tokka Labs,667921.08,Fund
Republic Capital,664521.97,Fund
Cypher Capital,663793.46,Fund
Simply VC,661285.82,Fund
Techemy Capital,569021.99,Fund
Framework Ventures,564677.37,Fund
Continue Capital,539309.79,Fund
IOSG Ventures,515783.78,Fund
Punk Ventures DAO,512017.22,Fund
Ceyuan Ventures,509907.35,Fund
XYZETH,472329.22,Fund
Taureon Capital,418062.85,Fund
mgnr,410796.47,Fund
Ether Capital,356379.03,Fund
Fenbushi Capital,317961.59,Fund
FBG Capital,290712.40,Fund
Chain Capital,289288.59,Fund
1kx,270430.13,Fund
Pharos Fund (Lantern Ventures),256296.35,Fund
Peak Defi,248846.87,Fund
decentro.vc,236775.30,Fund
Hack VC,229935.85,Fund
Clairvoyant Labs,212653.23,Fund
LD Capital,207056.12,Fund
DeFi Education Fund,203073.25,Fund
Exnetwork Capital,202305.59,Fund
